SKU_ID,Base_ID,Title,Price,Description,Stock,Release Year,Storage,Screen Size,Color
1,1,"XenoPhone Fusion - 64GB, 5.8"", Black",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Black
2,1,"XenoPhone Fusion - 64GB, 5.8"", White",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",White
3,1,"XenoPhone Fusion - 64GB, 5.8"", Blue",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Blue
4,1,"XenoPhone Fusion - 64GB, 5.8"", Red",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Red
5,1,"XenoPhone Fusion - 64GB, 5.8"", Green",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Green
6,1,"XenoPhone Fusion - 64GB, 5.8"", Silver",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Silver
7,1,"XenoPhone Fusion - 64GB, 5.8"", Gold",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Gold
8,1,"XenoPhone Fusion - 64GB, 5.8"", Purple",789.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"5.8""",Purple
9,1,"XenoPhone Fusion - 64GB, 6.1"", Black",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Black
10,1,"XenoPhone Fusion - 64GB, 6.1"", White",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",White
11,1,"XenoPhone Fusion - 64GB, 6.1"", Blue",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Blue
12,1,"XenoPhone Fusion - 64GB, 6.1"", Red",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Red
13,1,"XenoPhone Fusion - 64GB, 6.1"", Green",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Green
14,1,"XenoPhone Fusion - 64GB, 6.1"", Silver",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Silver
15,1,"XenoPhone Fusion - 64GB, 6.1"", Gold",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Gold
16,1,"XenoPhone Fusion - 64GB, 6.1"", Purple",819.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.1""",Purple
17,1,"XenoPhone Fusion - 64GB, 6.5"", Black",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Black
18,1,"XenoPhone Fusion - 64GB, 6.5"", White",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",White
19,1,"XenoPhone Fusion - 64GB, 6.5"", Blue",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Blue
20,1,"XenoPhone Fusion - 64GB, 6.5"", Red",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Red
21,1,"XenoPhone Fusion - 64GB, 6.5"", Green",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Green
22,1,"XenoPhone Fusion - 64GB, 6.5"", Silver",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Silver
23,1,"XenoPhone Fusion - 64GB, 6.5"", Gold",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Gold
24,1,"XenoPhone Fusion - 64GB, 6.5"", Purple",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Purple
25,1,"XenoPhone Fusion - 64GB, 6.7"", Black",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Black
26,1,"XenoPhone Fusion - 64GB, 6.7"", White",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",White
27,1,"XenoPhone Fusion - 64GB, 6.7"", Blue",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Blue
28,1,"XenoPhone Fusion - 64GB, 6.7"", Red",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Red
29,1,"XenoPhone Fusion - 64GB, 6.7"", Green",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Green
30,1,"XenoPhone Fusion - 64GB, 6.7"", Silver",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Silver
31,1,"XenoPhone Fusion - 64GB, 6.7"", Gold",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Gold
32,1,"XenoPhone Fusion - 64GB, 6.7"", Purple",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Purple
33,1,"XenoPhone Fusion - 64GB, 7.1"", Black",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Black
34,1,"XenoPhone Fusion - 64GB, 7.1"", White",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",White
35,1,"XenoPhone Fusion - 64GB, 7.1"", Blue",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Blue
36,1,"XenoPhone Fusion - 64GB, 7.1"", Red",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Red
37,1,"XenoPhone Fusion - 64GB, 7.1"", Green",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Green
38,1,"XenoPhone Fusion - 64GB, 7.1"", Silver",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Silver
39,1,"XenoPhone Fusion - 64GB, 7.1"", Gold",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Gold
40,1,"XenoPhone Fusion - 64GB, 7.1"", Purple",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Purple
41,1,"XenoPhone Fusion - 128GB, 5.8"", Black",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Black
42,1,"XenoPhone Fusion - 128GB, 5.8"", White",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",White
43,1,"XenoPhone Fusion - 128GB, 5.8"", Blue",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Blue
44,1,"XenoPhone Fusion - 128GB, 5.8"", Red",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Red
45,1,"XenoPhone Fusion - 128GB, 5.8"", Green",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Green
46,1,"XenoPhone Fusion - 128GB, 5.8"", Silver",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Silver
47,1,"XenoPhone Fusion - 128GB, 5.8"", Gold",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Gold
48,1,"XenoPhone Fusion - 128GB, 5.8"", Purple",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Purple
49,1,"XenoPhone Fusion - 128GB, 6.1"", Black",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Black
50,1,"XenoPhone Fusion - 128GB, 6.1"", White",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",White
51,1,"XenoPhone Fusion - 128GB, 6.1"", Blue",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Blue
52,1,"XenoPhone Fusion - 128GB, 6.1"", Red",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Red
53,1,"XenoPhone Fusion - 128GB, 6.1"", Green",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Green
54,1,"XenoPhone Fusion - 128GB, 6.1"", Silver",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Silver
55,1,"XenoPhone Fusion - 128GB, 6.1"", Gold",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Gold
56,1,"XenoPhone Fusion - 128GB, 6.1"", Purple",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Purple
57,1,"XenoPhone Fusion - 128GB, 6.5"", Black",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",Black
58,1,"XenoPhone Fusion - 128GB, 6.5"", White",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",White
